Issue Type,Summary,,
Epic 1,Location Functionality,,
Story 1,"As a customer, I want to select my delivery location so that I can see nearby restaurants.",,
Story 2,"As a customer, I want the selected location displayed at the top of the page so that I know where my order will be delivered.",,
Epic 2,,,
Story 1,,,
Story 2,,,
Story 3,,,
Epic 3,,,
Story 1,,,
Story 2,,,
Story 3,,,
Sub-task 1,,,
Sub-task 2,,,
Sub-task 3,,,
Story 4,,,
Task 1,,,
Task 2,,,
Epic 4,,,
Task 1,,,
Sub-task 1,,,
Sub-task 2,,,
Story 1,,,
Sub-task 1,,,
Sub-task 2,,,
